link,position,snippet,source,thumbnail,title,date_clean,date_only,year,month,day,weekday,hour,Sentiment
https://www.msn.com/en-us/news/politics/the-latest-trump-will-take-aim-at-globalist-institutions-during-un-address/ar-AA1N8hRr?ocid=BingNewsVerp,1,"President Donald Trump said Tuesday that Ukraine can win back all territory lost to Russia, a dramatic shift from the U.S.",Associated Press News on MSN,https://www.bing.com/th?id=OVFT.HniVB1sRH3VdavTdrWSauy&pid=News&w=234&h=132&c=14&rs=2&qlt=90,The Latest: Trump says he now believes Ukraine can take back all of its land after Zelenskyy meeting,2025-09-23T13:48:38Z,2025-09-23,2025,9,23,Tuesday,13,positive
https://www.yahoo.com/news/articles/ukraine-war-latest-trump-says-192612330.html,2,"Trump says NATO should down Russian aircraft violating allied airspace * Zelensky, Trump meet in New York amid surging Russia ...",Yahoo,https://www.bing.com/th?id=OVFT.LtIcCPazEouaAJAxqgpSZS&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Ukraine war latest: Trump says NATO should down Russian aircraft violating allied airspace,2025-09-23T20:48:38Z,2025-09-23,2025,9,23,Tuesday,20,negative
https://www.msn.com/en-gb/news/world/ukraine-russia-war-latest-trump-turns-on-putin-with-claim-kyiv-can-win-back-all-lost-territory/ar-AA1NbmfQ?ocid=BingNewsVerp,3,Donald Trump has said that Kyiv is in a position to win “all of Ukraine back in its original form” in a striking rhetorical shift against Russia.,The Independent on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Ukraine-Russia war latest: Kremlin says Trump is ‘deeply mistaken’ over claim Ukraine can retake occupied territory,2025-09-24T10:48:38Z,2025-09-24,2025,9,24,Wednesday,10,neutral
https://www.msn.com/en-us/news/other/boston-mayor-wu-s-dc-sanctuary-hearing-legal-bill-hits-750k-after-latest-spike-records-show/ar-AA1NcBua?ocid=BingNewsVerp,4,Boston Mayor Michelle Wu’s legal bill for her high-stakes congressional hearing on sanctuary cities last March has increased ...,Boston Herald on MSN,https://www.bing.com/th?id=OVFT.LYPPVWx95kq1V5zihXUuOS&pid=News&w=234&h=132&c=14&rs=2&qlt=90,"Boston Mayor Wu’s DC sanctuary hearing legal bill hits $750K after latest spike, records show",2025-09-24T10:48:38Z,2025-09-24,2025,9,24,Wednesday,10,neutral
https://sports.yahoo.com/article/caitlin-clark-come-back-playoffs-142620621.html,5,"The two-time All-Star last played on July 15, when she suffered a right groin injury late in a win over the Connecticut Sun.",Yahoo Sports,https://www.bing.com/th?id=OVFT.lSbAg1phNhgnB6CpzyyP1C&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Can Caitlin Clark come back in the playoffs? Latest news on Fever star's availability vs. Aces,2025-09-23T12:48:38Z,2025-09-23,2025,9,23,Tuesday,12,neutral
https://www.cbssports.com/fantasy/football/news/nfl-week-3-fantasy-football-injury-report-latest-news-and-updates-on-jaxon-smith-njigba-and-more/,6,The Jets' Justin Fields (concussion) is out for Sunday's game against the Buccaneers after missing practice all week. In his ...,CBS Sports,https://www.bing.com/th?id=OVFT.u6dHyg296jvuFlv1hkkcIy&pid=News&w=234&h=132&c=14&rs=2&qlt=90,NFL Week 3 Fantasy Football Injury Report: Latest news and updates on Jaxon Smith-Njigba and more,2025-09-22T12:48:38Z,2025-09-22,2025,9,22,Monday,12,negative
https://www.msn.com/en-us/weather/topstories/tropical-storm-gabrielle-live-tracker-maps-latest-path-update/ar-AA1MTxOa?ocid=BingNewsVerp,7,"As of Wednesday morning, Gabrielle was moving northwest at 14 mph and is expected to gradually turn north by the weekend.",Newsweek on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Tropical Storm Gabrielle Live Tracker Maps: Latest Path Update,2025-09-19T12:48:38Z,2025-09-19,2025,9,19,Friday,12,neutral
https://www.foxsports.com/articles/nfl/2025-nfl-week-4-injury-report-latest-injuries-for-every-team,8,"Keep up with the 2025 NFL season on FOX Sports. Prior to the final injury report, which lists players as questionable, doubtful or out, NFL teams use practice designations to update player injury ...",FOX Sports,https://www.bing.com/th?id=OVFT.placeholder&pid=News,2025 NFL Week 4 Injury Report: Latest injuries for every team,2025-09-23T16:48:38Z,2025-09-23,2025,9,23,Tuesday,16,neutral
https://www.msn.com/en-us/sports/other/after-clemsons-latest-stunning-loss-dabo-swinneys-bold-talk-is-ringing-more-hollow-than-ever/ar-AA1MYpKH?ocid=BingNewsVerp,9,"Rather than insisting fans should be grateful about Clemson's past success, Swinney should spend more time figuring out why ...",Yahoo Sports on MSN,https://www.bing.com/th?id=OVFT.kUmpAutabTIbpf6HsRYcSC&pid=News&w=234&h=132&c=14&rs=2&qlt=90,"After Clemson's latest stunning loss, Dabo Swinney's bold talk is ringing more hollow than ever",2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://www.msn.com/en-us/news/politics/heres-the-biggest-news-you-missed-this-weekend/ar-AA1M4tKZ?ocid=BingNewsVerp,10,"Trump's approval takes a dip, and South Korea negotiates the return of Hyundai workers: Weekend Rundown Americans’ views of President Donald Trump’s job performance remain negative amid a flurry of ...",NBC News on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Trump's approval takes a dip, and South Korea negotiates the return of Hyundai workers: Weekend Rundown",2025-09-08T12:48:38Z,2025-09-08,2025,9,8,Monday,12,negative
https://www.msn.com/en-us/politics/government/the-latest-trump-talks-about-the-future-of-tiktok-white-house-announces-autism-findings/ar-AA1N3Kmu?ocid=BingNewsVerp,11,President Donald Trump says billionaires like Rupert Murdoch and Michael Dell could be part of deal in which the U.S. will take control of TikTok ...,The Associated Press on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,The Latest: Trump talks about the future of TikTok; White House to announce autism findings,2025-09-22T12:48:38Z,2025-09-22,2025,9,22,Monday,12,neutral
https://www.forbes.com/sites/davidphelan/2025/09/20/ios-26-apple-quickly-releases-new-iphone-update-but-its-not-for-everyone/,12,It’s just days since iOS 26 went on general release and already there’s an update. But only select iPhones will see it.,Forbes,https://www.bing.com/th?id=OVFT.mk-VQORVdg45wkZwELQN-C&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Apple’s Latest iPhone Updates For All Latest Models Could See New Release Soon,2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://www.msn.com/en-us/sports/other/the-latest-on-jordan-lyle-and-joshisa-trader-heading-into-hurricanes-game-vs-uf/ar-AA1MYCiN?ocid=BingNewsVerp,13,"Running back Jordan Lyle and wide receiver Joshisa “JoJo” Trader went through warmups ahead of the game, a sign that they are ...",Miami Herald on MSN,https://www.bing.com/th?id=OVFT.NOTFMvEWpdxdZoE80q2CFi&pid=News&w=234&h=132&c=14&rs=2&qlt=90,The latest on Jordan Lyle and Joshisa Trader heading into Hurricanes’ game vs UF,2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://news.sky.com/story/un-latest-trump-to-speak-at-general-assembly-after-six-more-countries-recognise-palestinian-state-13435340,14,"The Kremlin has responded to Donald Trump's dismissal of Russia's military after his speech at the UN General Assembly yesterday. Meanwhile, it's Volodymyr Zelenskyy's turn to address the UN this ...",Sky News,https://www.bing.com/th?id=OVFT.placeholder&pid=News,UN latest: Kremlin responds to Trump's criticism of Moscow's army - with Zelenskyy to address General Assembly later,2025-09-24T09:48:38Z,2025-09-24,2025,9,24,Wednesday,9,neutral
https://www.msn.com/en-us/news/world/ukraine-trump-s-latest-stalling-tactic/ar-AA1N9N3Z?ocid=BingNewsVerp,15,Trump plans to impose sanctions on Russia only if all 31 NATO states join in and agree to ban Russian oil imports ...,The Week US on MSN,https://www.bing.com/th?id=OVFT.pl8aHNqZNg_JCMOINGWp2S&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Ukraine: Trump’s latest stalling tactic,2025-09-24T05:48:38Z,2025-09-24,2025,9,24,Wednesday,5,neutral
https://www.jacksonville.com/story/weather/hurricane/2025/09/22/jacksonville-forecast-hurricane-gabrielle-hot-weather/86289636007/,16,"Northeast Florida is in for a late September warm-up this week, with heat indices soaring into the 100s — plus, the latest on Hurricane Gabrielle.",Florida Times-Union,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Latest on Hurricane Gabrielle, and triple-digit 'feels-like' temperatures expected",2025-09-23T12:48:38Z,2025-09-23,2025,9,23,Tuesday,12,neutral
https://www.msn.com/en-us/money/technology/china-s-latest-aircraft-carrier-showcases-new-fighter-jet-launch-system-only-the-us-has-the-same-tech/ar-AA1N6JPm?ocid=BingNewsVerp,17,"China’s latest and most capable aircraft carrier has used its new electromagnetic catapult to successfully launch three types of aircraft, according to Chinese state media, which released footage of ...",CNN on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,China’s latest aircraft carrier showcases new fighter jet launch system. Only the US has the same tech,2025-09-23T12:48:38Z,2025-09-23,2025,9,23,Tuesday,12,neutral
https://www.msn.com/en-us/sports/football/patriots-cb-christian-gonzalez-s-week-3-status-revealed-in-latest-update/ar-AA1MYhC8?ocid=BingNewsVerp,18,The Patriots have officially ruled out cornerback Christian Gonzalez for Sunday's Week 3 game against the Steelers.,USA TODAY Touchdown Wire on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Patriots CB Christian Gonzalez's Week 3 status revealed in latest update,2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://www.msn.com/en-us/money/markets/asian-shares-retreat-after-intel-helped-drive-wall-street-to-more-records/ar-AA1MRPJi?ocid=BingNewsVerp,19,NEW YORK (AP) — Wall Street is coasting toward the finish of its latest record-setting week on Friday. The S&P 500 rose 0.2% and was on track to close out its ninth winning week in the last 10. The ...,The Associated Press on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Wall Street coasts to the finish of its latest record-setting week,2025-09-20T12:48:38Z,2025-09-20,2025,9,20,Saturday,12,neutral
https://www.dailybreeze.com/2025/09/18/clippers-issue-statement-after-latest-reporting-on-salary-cap-circumvention/,20,"In response to podcaster Pablo Torre reporting details of carbon credit purchases, Ballmer says he was “duped” and focused on sustainability with Intuit Dome construction.",Daily Breeze,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Clippers issue statement after latest reporting on salary cap circumvention,2025-09-19T12:48:38Z,2025-09-19,2025,9,19,Friday,12,neutral
https://www.usatoday.com/story/news/2025/09/23/donald-trump-approval-ratings-september-2025-polls/86296908007/,21,"Most recent Trump approval rating, according to the latest Quinnipiac University poll (Aug. 27, 2025): Note: Polls are constantly changing and different pollsters ask different varieties of the ...",USA TODAY,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Donald Trump approval ratings: See what latest polls reveal amid fall controversies,2025-09-23T15:48:38Z,2025-09-23,2025,9,23,Tuesday,15,neutral
https://www.al.com/weather/2025/09/tropical-storm-gabrielle-2025-could-soon-become-a-hurricane-the-latest-on-its-path.html,22,"Tropical Storm Gabrielle 2025 path one to watch for Bermuda Sep. 20, 2025, 3:58 p.m. Gabrielle becomes second hurricane of 2025 in Atlantic Sep. 21, 2025, 7:21 p.m. The hurricane center expects that ...",al.com,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Tropical Storm Gabrielle 2025 could soon become a hurricane: The latest on its path,2025-09-20T12:48:38Z,2025-09-20,2025,9,20,Saturday,12,neutral
https://www.reuters.com/live/,23,"Trump recently shifted his rhetoric about the war in Ukraine, saying he believes Ukraine can win back all of the territory ...",Reuters,https://www.bing.com/th?id=OVFT.noB2kfuaa2c_2fhfyAe8py&pid=News&w=234&h=132&c=14&rs=2&qlt=90,"Find latest live news from every corner of the globe at Reuters.com, your online source for breaking international news coverage.",,,,,,,,neutral
https://www.msn.com/en-us/news/world/zelensky-issues-tragic-update-after-latest-russia-strike/ar-AA1N2J3G?ocid=BingNewsVerp,24,"Zelensky is expected to meet Trump on the sidelines of the United Nations General Assembly in New York this week, where the ...",Newsweek on MSN,https://www.bing.com/th?id=OVFT.CsB3d19aSdAeJx-9pimxSS&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Zelensky issues tragic update after latest Russia strike,2025-09-22T12:48:38Z,2025-09-22,2025,9,22,Monday,12,neutral
https://www.fox10phoenix.com/video/1711138,25,"Anchors Brian Webb & Ashlie Rodriguez and Executive Producer Trenton Hooker talk about the day's top stories, from the latest on the armed man who impersonated a police officer at the Charlie Kirk ...",FOX 10 Phoenix,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Latest on Charlie Kirk memorial, Mesa family recovers after stabbing | FOX 10 Talks",2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://www.msn.com/en-us/sports/other/aggies-close-in-on-longhorns-in-latest-college-football-rankings/ar-AA1MYgsG?ocid=BingNewsVerp,26,"Social media is already buzzing about how the Aggies will perform against the Longhorns in November, after two very different games last weekend.",Heavy on MSN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Aggies Close in on Longhorns in Latest College Football Rankings,2025-09-21T12:48:38Z,2025-09-21,2025,9,21,Sunday,12,neutral
https://www.nytimes.com/interactive/polls/virginia-governor-election-polls-2025.html,27,Track the latest polls about Democrat Abigail Spanberger and Republican Winsome Earle-Sears in the Virginia gubernatorial ...,The New York Times,https://www.bing.com/th?id=OVFT.Mj821kx0M4IST7Ljwja6By&pid=News&w=234&h=132&c=14&rs=2&qlt=90,Virginia Governor Election 2025: Latest Polls,2025-09-19T12:48:38Z,2025-09-19,2025,9,19,Friday,12,neutral
https://www.espn.com/nfl/story?id=46306378,28,"We're following every move before the 2025 NFL trade deadline, which passes at 4 p.m. ET on Nov. 4. Which players have changed teams?",ESPN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"2025 NFL trade deadline tracker: Latest deals, news",2025-09-23T21:48:38Z,2025-09-23,2025,9,23,Tuesday,21,neutral
https://www.washingtonpost.com/national/2025/09/17/israel-hamas-war-qatar-latest-09-17-2025/d8e520fc-9394-11f0-8336-4757e168ec2a_story.html,29,"Israeli forces are pressing on with a new ground offensive in Gaza City as strikes overnight across the Palestinian territory killed at least 16 people, including women and children ...",The Washington Post,https://www.bing.com/th?id=OVFT.placeholder&pid=News,The Latest: Israeli military presses on with its new ground offensive on Gaza City,2025-09-18T12:48:38Z,2025-09-18,2025,9,18,Thursday,12,negative
https://www.nextgov.com/acquisition/2025/09/microsoft-offers-major-discounts-government-customers-latest-onegov-deal/407812/,30,"The discounts could be worth as much as $3.1 billion in year one, according to the General Services Administration. The General Services Administration announced a OneGov agreement with Microsoft ...",Nextgov,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Microsoft offers major discounts to government customers in latest ‘OneGov’ deal,2025-09-02T12:48:38Z,2025-09-02,2025,9,2,Tuesday,12,neutral
https://www.cnn.com/politics/live-news/trump-administration-epstein-files-09-03-25,31,Our live coverage of Trump’s presidency has ended for the day. Follow the latest updates or read through the posts below. The Trump administration is opening a new camp within a notorious state prison ...,CNN,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"September 3, 2025: Trump administration news",2025-09-04T12:48:38Z,2025-09-04,2025,9,4,Thursday,12,neutral
https://nypost.com/2025/09/07/us-news/trump-vows-to-punish-putin-russia-after-latest-deadly-assault-on-ukraine/,32,"President Trump on Sunday declared he is ready to move ahead with a new round of sanctions against Russia after it pummeled Ukraine with its largest air strike since the war began. Trump, asked by ...",New York Post,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Trump ready to punish Putin, Russia after latest deadly assault on Ukraine",2025-09-08T12:48:38Z,2025-09-08,2025,9,8,Monday,12,negative
https://www.si.com/wnba/angel-reeses-latest-technical-foul-suspension,33,"Angel Reese made headlines on Wednesday after she made comments about her Chicago Sky future, telling the Chicago Tribune that she would not be ""settling for the same s--- we did this year"" and urging ...",Sports Illustrated,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Angel Reese's Latest Technical Foul Will Mean a Suspension,2025-09-04T12:48:38Z,2025-09-04,2025,9,4,Thursday,12,neutral
https://www.si.com/nfl/raiders/las-vegas-pete-carroll-chip-kelly-john-spytek-jakobi-meyers-amari-cooper-new-england-patriots,34,"HENDERSON, Nev.—Las Vegas Raiders coach Pete Carroll took a phone call today from WR Amari Cooper, who, after being back with the Silver and Black for only a few days, announced his retirement. While ...",Sports Illustrated,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Latest News on Jakobi Meyers, Amari Cooper Retires, and the Raiders Plans",2025-09-05T12:48:38Z,2025-09-05,2025,9,5,Friday,12,neutral
https://nypost.com/2025/09/05/us-news/trump-administration-targets-boston-in-latest-sanctuary-city-lawsuit/,35,The Trump administration sued the city of Boston and its leaders Thursday in its latest attempt to invalidate policies seen as interfering with immigration enforcement. The suit alleges that Boston’s ...,New York Post,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Trump targets Boston in latest sanctuary city lawsuit — as mayor vows to ‘defend constitutional rights’,2025-09-06T12:48:38Z,2025-09-06,2025,9,6,Saturday,12,negative
https://www.nj.com/politics/2025/09/trump-is-underwater-across-major-issues-for-voters-new-poll-reveals.html,36,"President Donald Trump’s approval rating remains underwater across a number of issues, according to the latest Yahoo/YouGov poll. The poll found that Trump had a 42% approval rating among registered ...",NJ.com,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"Trump is underwater across major issues for voters, new poll reveals",2025-09-05T12:48:38Z,2025-09-05,2025,9,5,Friday,12,neutral
https://www.cbsnews.com/news/inflation-pce-tariffs-consumer-spending-fed-rate-cut/,37,"Mary Cunningham is a reporter for CBS MoneyWatch. Before joining the business and finance vertical, she worked at ""60 Minutes,"" CBSNews.com and CBS News 24/7 as part of the CBS News Associate Program.",CBS News,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Here are the biggest takeaways from the government's latest inflation data,2025-08-30T12:48:38Z,2025-08-30,2025,8,30,Saturday,12,neutral
https://www.onlineathens.com/story/news/courts/2025/09/04/latest-on-court-cases-of-father-son-charged-in-apalachee-high-shootings/85936602007/,38,"Court proceedings are ongoing for both the teenage suspect in the Apalachee High School shooting and his father. The 14-year-old suspect, Colt Gray, is charged with murder and may be considering a ...",Athens Banner-Herald,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Latest on the court cases of the father and son charged in Apalachee High School shootings,2025-09-04T12:48:38Z,2025-09-04,2025,9,4,Thursday,12,negative
https://www.reuters.com/technology/idme-tops-2-billion-valuation-latest-fundraise-amid-push-combat-ai-driven-fraud-2025-09-03/,39,"Sept 3 (Reuters) - ID.me said on Wednesday it had raised $340 million across its latest funding round, combined with a credit facility, led by investment firm Ribbit Capital, valuing the digital ...",Reuters,https://www.bing.com/th?id=OVFT.placeholder&pid=News,ID.me tops $2 billion valuation in latest fundraise amid push to combat AI-driven fraud,2025-09-04T12:48:38Z,2025-09-04,2025,9,4,Thursday,12,neutral
https://www.fox5vegas.com/2025/09/03/want-latest-covid-19-vaccine-nevada-why-access-is-limited/,40,"LAS VEGAS (FOX5) — The latest COVID-19 vaccine for the fall season is coming to Nevada, but access is limited as pharmacies wait for more federal approval per state law. Last Wednesday, the Food and ...",FOX5 Las Vegas,https://www.bing.com/th?id=OVFT.placeholder&pid=News,Want the latest COVID-19 vaccine in Nevada? Why access is limited,2025-09-03T12:48:38Z,2025-09-03,2025,9,3,Wednesday,12,negative
https://www.ksat.com/weather/2025/09/03/latest-update-heavy-rainfall-for-some-this-weekend/,41,"Latest trends favor heavy rain Sunday evening into Monday, but keep in mind this timeline will be modified in the days ahead. (Copyright 2024 by KSAT - All rights ...",KSAT,https://www.bing.com/th?id=OVFT.placeholder&pid=News,LATEST UPDATE: Flash flooding risk late this weekend,2025-09-05T12:48:38Z,2025-09-05,2025,9,5,Friday,12,neutral
https://kstp.com/ap-top-news/the-latest-all-14-injured-kids-expected-to-survive-after-shooting-at-minneapolis-catholic-school/,42,"MINNEAPOLIS (AP) — A shooter opened fire Wednesday morning during Mass at a Minneapolis Catholic school, killing two children and injuring 17 other people before killing himself, officials said.",KSTP-TV,https://www.bing.com/th?id=OVFT.placeholder&pid=News,The Latest: All 14 injured kids expected to survive after shooting at Minneapolis Catholic school,2025-08-27T12:48:38Z,2025-08-27,2025,8,27,Wednesday,12,negative
https://www.fox23.com/news/the-latest-on-operation-safe-in-tulsa/article_94270b53-9091-4789-90c8-1ae01b59900c.html,43,"TULSA, Okla. — As Governor Stitt's Operation SAFE is put into action across Tulsa, FOX23 is bringing you the latest news and reactions throughout day one. FOX23 reported on Thursday when Oklahoma ...",Fox 23,https://www.bing.com/th?id=OVFT.placeholder&pid=News,The latest on Operation SAFE in Tulsa,2025-09-05T12:48:38Z,2025-09-05,2025,9,5,Friday,12,neutral
https://www.cbssports.com/nfl/news/nfl-futures-updates-latest-odds-best-bets-for-super-bowl-division-winners-and-more-ahead-of-opening-kickoff/,44,"The Dallas Cowboys and Philadelphia Eagles kick off the NFL season on Thursday. There's been a lot of odds movement for NFL futures this offseason, so let's check out where each team lies of the NFL ...",CBSSports.com,https://www.bing.com/th?id=OVFT.placeholder&pid=News,"NFL futures updates: Latest odds, best bets for Super Bowl, division winners and more ahead of opening kickoff",2025-09-03T12:48:38Z,2025-09-03,2025,9,3,Wednesday,12,neutral
